profession,esco_id,nation,count,job_ad_percent,esco_label,in_eyp_top_skills
Early Years Practitioner,22b7d99d-252f-4572-8e3c-438ea87607eb,England,6886,25.681572371610784,show positive attitude,True
Early Years Practitioner,15d76317-c71a-4fa2-aadc-2ecc34e627b7,England,3562,13.284600753365904,communication,True
Early Years Practitioner,cab119c5-ff95-4499-b91a-54e9f6c5cde1,England,3117,11.624958042740461,work in team,True
Early Years Practitioner,995ad47c-bfc5-45fd-91ec-35cad3f7d368,England,2398,8.943422966471488,contribute to the safeguarding of children,True
Early Years Practitioner,f8d4a24c-fb62-444e-9525-7aa5662f440d,England,1918,7.153246559504718,take care of children,True
Early Years Practitioner,1f1d2ff8-c4c1-45cc-9812-6a7ee84a73cb,England,1394,5.198970648565994,leading a team,True
Early Years Practitioner,6b58a6d2-89cf-4ab5-bb62-eb29ae968934,England,1316,4.908066982433894,perform activities to learn with children,True
Early Years Practitioner,efe801a5-8704-4def-8a96-c32f7a6cb9fb,England,1277,4.762615149367844,maintain relations with children's parents,True
Early Years Practitioner,c44fb412-b830-425e-9371-5451780fa973,England,1261,4.702942602468951,provide safeguarding to individuals,True
Early Years Practitioner,1258cc12-37bb-4a12-b219-9c3d6b294533,England,1248,4.654458658113601,show organisational abilities,True
Early Years Practitioner,f8d4a24c-fb62-444e-9525-7aa5662f440d,Northern Ireland,4,44.44444444444444,take care of children,True
Early Years Practitioner,df329d70-87b0-466b-a214-3431f36e2a5e,Northern Ireland,4,44.44444444444444,protect personal data,True
Early Years Practitioner,4f7b14d8-f09c-49f7-abae-231e8c210e07,Northern Ireland,4,44.44444444444444,general medicine,True
Early Years Practitioner,efe801a5-8704-4def-8a96-c32f7a6cb9fb,Northern Ireland,4,44.44444444444444,maintain relations with children's parents,True
Early Years Practitioner,906c9e66-bdee-4f8e-93d7-88d9fcf39a0a,Northern Ireland,4,44.44444444444444,schedule meetings,True
Early Years Practitioner,4e2ce047-1912-468f-8c04-ab7374c4a761,Northern Ireland,3,33.33333333333333,support diversity of cultures,True
Early Years Practitioner,ab89ad86-1098-44bb-9465-05af5624557c,Northern Ireland,3,33.33333333333333,escort people,True
Early Years Practitioner,3fd2467a-59d1-4e5e-b3cf-5cb423362a1a,Northern Ireland,2,22.22222222222222,develop young persons programmes,True
Early Years Practitioner,4a874516-eb34-4dc1-833d-864c5a448db2,Northern Ireland,2,22.22222222222222,support the positiveness of children,True
Early Years Practitioner,f2d63656-169c-4110-99fe-33914f902466,Northern Ireland,2,22.22222222222222,child-protection,True
Early Years Practitioner,22b7d99d-252f-4572-8e3c-438ea87607eb,Scotland,39,46.42857142857143,show positive attitude,True
Early Years Practitioner,7ee872de-db39-4ae3-8e19-75d1a2cdf697,Scotland,24,28.57142857142857,establish curriculum,True
Early Years Practitioner,995ad47c-bfc5-45fd-91ec-35cad3f7d368,Scotland,17,20.238095238095237,contribute to the safeguarding of children,True
Early Years Practitioner,cab119c5-ff95-4499-b91a-54e9f6c5cde1,Scotland,16,19.047619047619047,work in team,True
Early Years Practitioner,15d76317-c71a-4fa2-aadc-2ecc34e627b7,Scotland,16,19.047619047619047,communication,True
Early Years Practitioner,93a68dcb-3dc6-4dbe-b196-f6d212228a50,Scotland,13,15.476190476190476,promote health and safety,True
Early Years Practitioner,1f1d2ff8-c4c1-45cc-9812-6a7ee84a73cb,Scotland,11,13.095238095238097,leading a team,True
Early Years Practitioner,b32e593b-cc7f-4f38-bf50-e69431ec7ada,Scotland,10,11.904761904761903,present examples of teaching experience,True
Early Years Practitioner,7110bf9f-b245-4adc-9159-5081013fd64d,Scotland,10,11.904761904761903,"communicate effectively with patients, families and caregivers",True
Early Years Practitioner,a65fb963-6faf-47b2-a3d9-c4e5e4d833c5,Scotland,8,9.523809523809524,support children's resilience,True
