month_year,sector,count,median_max_annualised_salary,median_min_annualised_salary
2020-12,Early Years Practitioner,437,21450.0,19500.0
2020-12,Primary School Teacher,29,34885.5,22100.0
2020-12,Sales Assistant,2,,
2020-12,Secondary School Teacher,42,,
2020-12,Special Needs Teacher,3,21184.8,16515.2
2020-12,Teaching Assistant,890,20800.0,16900.0
2021-01,Early Years Practitioner,4648,22000.0,18700.0
2021-01,Primary School Teacher,610,41600.0,30000.0
2021-01,Sales Assistant,8,18749.25,17569.5
2021-01,Secondary School Teacher,475,24700.0,19500.0
2021-01,Special Needs Teacher,235,23400.0,18200.0
2021-01,Teaching Assistant,6420,20800.0,18200.0
2021-02,Early Years Practitioner,5800,23000.0,19250.0
2021-02,Primary School Teacher,1074,39782.0,31604.0
2021-02,Sales Assistant,126,17004.0,17004.0
2021-02,Secondary School Teacher,471,22100.0,19500.0
2021-02,Special Needs Teacher,647,23400.0,18200.0
2021-02,Teaching Assistant,6764,20800.0,18200.0
2021-03,Early Years Practitioner,8408,23000.0,19500.0
2021-03,Primary School Teacher,2141,36400.0,27543.0
2021-03,Sales Assistant,208,19053.0,18200.0
2021-03,Secondary School Teacher,512,22100.0,18850.0
2021-03,Special Needs Teacher,776,23400.0,18200.0
2021-03,Teaching Assistant,12550,22100.0,18200.0
2021-04,Early Years Practitioner,7375,22425.0,19500.0
2021-04,Primary School Teacher,1843,38052.0,32157.0
2021-04,Sales Assistant,196,18250.0,18250.0
2021-04,Secondary School Teacher,437,22750.0,18200.0
2021-04,Special Needs Teacher,610,23400.0,18641.0
2021-04,Teaching Assistant,8982,22100.0,18200.0
2021-05,Early Years Practitioner,9287,23000.0,20000.0
2021-05,Primary School Teacher,2438,41200.0,29907.5
2021-05,Sales Assistant,557,19460.0,19460.0
2021-05,Secondary School Teacher,578,23400.0,19500.0
2021-05,Special Needs Teacher,931,23400.0,18200.0
2021-05,Teaching Assistant,15341,20800.0,18200.0
2021-06,Early Years Practitioner,7131,24000.0,21000.0
2021-06,Primary School Teacher,2183,36400.0,26000.0
2021-06,Sales Assistant,419,18533.0,18532.5
2021-06,Secondary School Teacher,731,22100.0,18200.0
2021-06,Special Needs Teacher,765,23400.0,18200.0
2021-06,Teaching Assistant,19824,20800.0,17000.0
2021-07,Early Years Practitioner,8261,23400.0,20000.0
2021-07,Primary School Teacher,1869,36400.0,26000.0
2021-07,Sales Assistant,563,19460.0,19460.0
2021-07,Secondary School Teacher,1064,20800.0,16900.0
2021-07,Special Needs Teacher,1021,23400.0,19500.0
2021-07,Teaching Assistant,19217,20800.0,16900.0
2021-08,Early Years Practitioner,6258,23692.5,21000.0
2021-08,Primary School Teacher,1315,23400.0,19500.0
2021-08,Sales Assistant,574,19460.0,19460.0
2021-08,Secondary School Teacher,138,22100.0,18850.0
2021-08,Special Needs Teacher,227,22100.0,18200.0
2021-08,Teaching Assistant,10386,20800.0,18200.0
2021-09,Early Years Practitioner,5549,23000.0,19500.0
2021-09,Primary School Teacher,1659,23400.0,19500.0
2021-09,Sales Assistant,410,22000.0,19460.0
2021-09,Secondary School Teacher,733,23400.0,18200.0
2021-09,Special Needs Teacher,1094,23400.0,19500.0
2021-09,Teaching Assistant,15573,20800.0,18200.0
2021-10,Early Years Practitioner,8603,23400.0,20100.0
2021-10,Primary School Teacher,2929,29900.0,19500.0
2021-10,Sales Assistant,1235,19500.0,19460.0
2021-10,Secondary School Teacher,813,23400.0,19500.0
2021-10,Special Needs Teacher,1549,23400.0,18200.0
2021-10,Teaching Assistant,21375,22100.0,18200.0
2021-11,Early Years Practitioner,8091,24000.0,20000.0
2021-11,Primary School Teacher,3728,29900.0,20800.0
